url,name,dev,description,genre,tags,status,platforms,publisher,release_date,made_with,rating,rating_count,average_session,languages,inputs,nsfw,safe_virus,notes,thumbnail
https://kathinkapng.itch.io/good-job,Good Job!,Kathinka,There's no real need to pretend and work anymore.,"Puzzle, Visual Novel","Anime, Dark, Female Protagonist, Multiple Endings, Mystery, Psychological Horror, RPG Maker, Walking simulator, Yuri",Released,"HTML5, Windows, macOS",N/A,N/A,RPG Maker,4.6,966,A few seconds,"English, Vietnamese, Chinese",N/A,No,?,,https://img.itch.zone/aW1nLzkzMjU0MDYucG5n/original/hbVG%2Fk.png
https://wolf-hal.itch.io/sprunki,Sprunki,wolf_hal,N/A,N/A,"Cute, Fangame, Horror, Incredibox, minigames, Sprunki",Released,"HTML5, Windows, macOS, Linux, Android",N/A,N/A,N/A,4.4,1553,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzE3Njg0NDI5LmpwZWc=/original/pzfMZF.jpeg
https://campteam-games.itch.io/the-penjikent-creature,🟥🟥🟥The Penjikent Creature🟥🟥🟥🕹️🏅🔥,CampTeam Games,Inspired by the real-life Penjikent Murals in Tajikistan.,Adventure,"Atmospheric, Creepy, creepypasta, First-Person, Horror, Pixel Art, Retro, Singleplayer, Story Rich",Released,"HTML5, Windows",N/A,N/A,"Blender, Godot",4.7,145,A few minutes,English,"Keyboard, Mouse",No,?,,https://img.itch.zone/aW1nLzI1ODM5MzAzLnBuZw==/original/y2ZxRs.png
https://oissisui.itch.io/glowmachine,光るだけしかない機械,oissisui,光るだけしかない機械になるアドベンチャーゲームです ・推定プレイ時間 60分（本当に） ・操作方法 左クリック ・制作 月刊湿地帯 /おいし水 ・開発ツール Godot 進行不可能になる不具合があれば oississui@gmail.,N/A,N/A,Released,"Windows, macOS",N/A,N/A,N/A,5.0,11,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MDQ0MTI0LnBuZw==/original/pFUkZ%2B.png
https://eigen.itch.io/sunless-isle,Sunless Isle: Keep of the Mad Magus,Eigen Lenk,"Story “On Sunless Isle, forever enfolded in storm and protected by insurmountable cliffs, a dark keep looms.",Role Playing,"LOWREZJAM, Perma Death, Pixel Art, Roguelike",Released,Windows,N/A,N/A,SFML,N/A,N/A,About a half-hour,N/A,Keyboard,No,?,,https://img.itch.zone/aW1nLzI1MDQyMzAxLnBuZw==/original/QeV9EU.png
https://potpan.itch.io/spacetravelisboring,Space Travel is Boring,pot,可能不是你想要的，但是是我做的。 通常来说，我不认为看简介会对其阅读产生多大帮助。我是很讨厌剧透，我总是想追求点现在最难以拥有的东西，未知权，却总是被自己也害得失败。 当然我不是想自夸自擂，自负到硬说这东西好到不需要简介了，别的带简介的都没这好。也许又是呢？这些话也许说不定真是一段过时的前卫营销，还是更可能就是自言自语了？ 但，我是真的觉得，为这个Project写个简介是件麻烦无用的事。 首先写简...,Visual Novel,"Atmospheric, Experimental, Furry, Hand-drawn, Indie, Lo-fi, Space",Released,"Windows, Linux",N/A,N/A,Ren'Py,N/A,N/A,A few hours,Chinese (Simplified),N/A,No,?,,https://img.itch.zone/aW1nLzIzOTc1Mjk5LnBuZw==/original/Us%2BHeY.png
https://indoorsunglasses.itch.io/the-snail-and-the-worm,Feed the Forest,"Indoor Sunglasses, Ed, Melting_Voices, Victor Selnæs Breum",A little forest-growing incremental game about a snail and a worm turning a worthless desert into a value-producing forest.,Simulation,"desert, Economy, ecosystem, Forest, Idle, Incremental, snail, upgrades, worm",Released,"HTML5, Windows, macOS, Linux",N/A,N/A,Unity,4.4,68,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NDkwMDI5LnBuZw==/original/HtKj2y.png
https://bloofbloof.itch.io/oomy,Oomy,Bloof,"Controls: Space and Arrow Keys A little alien named Oomy is out to explore the world looking for enlightenment, whether it's through a tarot card reading, talking with a mad scientist or simply cra...",Adventure,"Cute, Exploration, Furry, hypnosis, meditation, mindfulness, relaxation, Walking simulator, yume-nikki",Released,Windows,N/A,N/A,N/A,5.0,2,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzIzNjU4NzEzLnBuZw==/original/68gorq.png
https://mattstark.itch.io/halftimber,halftimber,mattstark,A building game with half-timber houses.,N/A,"Creative, PSX (PlayStation)",Released,"HTML5, Windows",N/A,N/A,Unity,4.8,20,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI0NzY4NzQxLnBuZw==/original/ky69q6.png
https://cluelessrabbit.itch.io/wikinger,Der Tod im Wikingerdorf,CluelessRabbit,N/A,N/A,N/A,Released,"Windows, macOS, Linux",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI0NDY1NDU1LnBuZw==/original/nNIltl.png
https://2donnie.itch.io/deepore,DeepOre,"2Donnie, Vermilion",Strategy point and click rogulite Web build takes ~30seconds to load for the first time Programming and Design - 2Donnie Art - Vermilion,"Strategy, Puzzle","Casual, Incremental, Point & Click, Roguelite, Turn-based",Released,"HTML5, Windows",N/A,N/A,Unity,1.5,4,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MDQ0NTg4LnBuZw==/original/2%2FD7Ex.png
https://historyleaf37.itch.io/date-the-daitengu,Date the Daitengu,"historyleaf, yoshizora, Llamasyes",Note: While Version 1.,Visual Novel,N/A,Released,"HTML5, Windows, macOS, Linux",N/A,N/A,Ren'Py,5.0,1,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MDQ4MTQyLnBuZw==/original/8L8s1N.png
https://woah-maaan.itch.io/giant-snake-girl-wants-the-burger,Giant Snake Girl wants The Burger,WOAH_MAAAN,"FOR THE BEST EXPERIENCE, DOWNLOAD THE WINDOWS VERSION.",Puzzle,"2D, block, Comedy, Cute, Snake",Released,"HTML5, Windows",N/A,N/A,GameMaker,4.8,23,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MDI5NjEyLnBuZw==/original/db3BoB.png
https://vericugames.itch.io/my-neighbor-stinks,My neighbor stinks,VericuGames,"Before playing!!! You have a lantern in your room, don't walk in the dark at night You can only save at day time It might not work well on a low end pc If you think you got stuck, just click/intera...","Adventure, Puzzle, Strategy","Atmospheric, Comedy, Creepy, Horror, Psychological Horror, Singleplayer, Survival Horror",Released,Windows,N/A,N/A,N/A,4.6,5,About a half-hour,N/A,"Keyboard, Mouse",No,?,,https://img.itch.zone/aW1nLzI1MDUzNzI2LmpwZw==/original/cZIn%2BF.jpg
https://pugsgames.itch.io/dont-sleep,DON'T SLEEP,PugsGames,You made a choice.,Adventure,"Atmospheric, Creepy, Dark, Horror, Indie, Monster Girls, No AI, PSX (PlayStation), Scary, Short",Released,Windows,N/A,N/A,"Unity, Blender, Adobe Photoshop, FL Studio",4.3,86,A few minutes,English,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDA1MDU2LnBuZw==/original/3hvrHK.png
https://danka-dobric.itch.io/lonesome-town,Lonesome Town,Vuk Dobric,ABOUT: A short horror experience set in a series of strange locations as our antihero tries to escape from the murder he just commited.,Adventure,"3D, Atmospheric, First-Person, Horror, Mystery, No AI, Psychological Horror, Short, Singleplayer, Story Rich",Released,Windows,N/A,N/A,N/A,4.9,29,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDA1NzI0LnBuZw==/original/M7%2F4y%2B.png
https://toothandclaw.itch.io/on-thy-knees,ON THY KNEES,ToothandClaw,A short atmospheric horror game.,Adventure,"Atmospheric, First-Person, Horror, Multiple Endings, Retro, Short, Walking simulator",Released,Windows,N/A,N/A,N/A,4.4,67,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1ODUzMDkwLnBuZw==/original/ShHGYl.png
https://reichiv.itch.io/clown,Clown,ReichIV,STORY Clown is a psychological horror experience set in a small neighborhood.,Adventure,"3D, Atmospheric, Creepy, First-Person, Horror, Indie, PSX (PlayStation), Psychological Horror",Released,Windows,N/A,N/A,N/A,4.4,25,About a half-hour,English,"Keyboard, Mouse",No,?,,https://img.itch.zone/aW1nLzI1ODY3MTIzLmpwZWc=/original/cwNDUq.jpeg
https://rippers-lair.itch.io/psycho-inn,PSYCHO INN,RIPPERS LAIR,YOU FOUND SOMEWHERE TO STAY THE NIGHT.,Survival,"3D, Creepy, First-Person, Gore, Horror, Low-poly, PSX (PlayStation), Retro, Slasher, Survival Horror",Released,Windows,N/A,N/A,N/A,4.9,17,About a half-hour,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDI3NTM2LmdpZg==/original/HhVHpR.gif
https://static-mind.itch.io/tales-after-midnight-the-neighbor,Tales After Midnight | The Neighbor,Static Mind,NOTE Tales After Midnight is an anthology series.,"Adventure, Interactive Fiction","3D, First-Person, Horror, Indie, PSX (PlayStation), Psychological Horror, Singleplayer, Story Rich, Unity",Released,Windows,N/A,N/A,N/A,4.6,40,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NzM4ODQ2LnBuZw==/original/XIPoVI.png
https://perfectgame123.itch.io/no-one-likes-you,No one likes you,PerfectGame123,This is short horror game that tells story about boy with schizophrenia.,N/A,"3D, First-Person, Horror, PSX (PlayStation), Psychological Horror",Released,"Windows, macOS, Linux, Android",N/A,N/A,N/A,4.0,52,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NjQ4ODkyLnBuZw==/original/sTZXoN.png
https://donattico.itch.io/whodunnit,WHODUNNIT,"Don Attico, Maurimo, gyrium",Howie Falk has a tough time being anything on purpose.,Visual Novel,"2D, Comedy, Furry, Gay, LGBT, Mystery, No AI, Queer, Singleplayer",In development,"Windows, macOS, Linux, Android",N/A,N/A,"Ren'Py, Adobe Photoshop, pygame, Clip Studio Paint",4.9,144,A few hours,English,"Keyboard, Mouse, Xbox controller, Gamepad (any), Playstation controller",No,?,,https://img.itch.zone/aW1nLzI1MDAwMDY0LnBuZw==/original/jWeNZ6.png
https://papercookies.itch.io/skinface,SKINFACE,"adam pype, Ties Groen","if you like this, please check out my other game No Players Online",Action,"3D, Dark Humor, First-Person, Gore, Horror, PSX (PlayStation), Stealth",Released,Windows,N/A,N/A,N/A,4.5,233,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NDU1MDk1LmdpZg==/original/3ehbNP.gif
https://uxane.itch.io/unmade,Unmade,uxane,Unmade is a short psychological horror experience made for 2 weeks Pizza Doggy's Horror Jam ( https://itch.,Survival,"3D, Atmospheric, Creepy, First-Person, Horror, PSX (PlayStation), Psychological Horror, Retro, Short, Singleplayer",Released,Windows,N/A,N/A,N/A,4.6,9,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1OTc3NDMyLnBuZw==/original/LiGc45.png
